recession_id,start_date,end_date,duration_months,name,primary_causes,gdp_decline_percent,peak_unemployment_rate,notable_policy_responses
5894,1842-09-01,1843-01-19,4,Mid 1842s Trade War Recession,Credit crunch; Pandemic outbreak,22.2,5.2,Infrastructure investment; Price controls
5895,1834-10-21,1836-11-03,25,Late 1834s Financial Crisis,Consumer confidence collapse,23.1,23.3,Nationalization of key industries; Increased government spending; Trade policy adjustments
5896,1838-07-10,1840-06-07,23,Mid 1838s Commodity Crash,Supply chain disruptions; Excessive debt accumulation; Market speculation,21.0,22.2,Interest rate cuts; Business loan programs
5897,1926-02-15,1928-08-21,30,Mid 1926s Debt Crisis,Technological disruption,20.2,20.4,Interest rate cuts; Mortgage relief; Unemployment benefit extensions
5898,1987-09-05,1988-04-23,7,Mid 1987s Economic Downturn,Banking system failure; Political instability; Trade restrictions,25.4,10.9,Bank bailouts
5899,1912-03-13,1913-01-19,10,Early 1912s Monetary Crisis,Supply chain disruptions; Monetary policy tightening,27.4,6.3,International financial assistance
5900,1845-09-04,1846-07-19,10,Late 1845s Currency Crisis,Inflation spike; Supply chain disruptions,7.9,15.2,Interest rate cuts
5901,1964-07-17,1967-01-13,30,Mid 1964s Housing Bubble,Pandemic outbreak; Regulatory changes,16.6,6.0,International financial assistance
5902,1886-07-16,1887-05-27,10,Early 1886s Fiscal Crisis,Credit crunch,24.2,8.8,Quantitative easing
5903,1889-01-02,1891-09-26,32,Late 1889s Fiscal Crisis,Monetary policy tightening,10.0,7.4,Business loan programs; Increased government spending
5904,1859-07-19,1860-02-06,7,Late 1859s Financial Crisis,Monetary policy tightening; Natural disasters,19.5,21.3,Mortgage relief; Interest rate cuts; Trade policy adjustments
5905,1832-02-15,1834-07-03,29,Early 1832s Tech Bubble,Monetary policy tightening; Trade restrictions,26.5,7.2,Trade policy adjustments; Emergency lending facilities
5906,1988-10-01,1989-12-08,14,Mid 1988s Industrial Decline,Trade restrictions; Financial market contagion,2.5,21.2,Regulatory reforms; Increased government spending
5907,1867-09-25,1868-07-19,10,Mid 1867s Trade War Recession,Asset bubble burst,14.2,13.8,Quantitative easing; Business loan programs
5908,1937-10-01,1938-08-28,10,Late 1937s Market Crash,Financial market contagion; Excessive debt accumulation; Banking system failure,1.1,15.9,Bank bailouts
5909,1832-04-03,1832-08-02,4,Late 1832s Financial Crisis,Inflation spike; Political instability,11.5,12.2,Unemployment benefit extensions; Direct payments to citizens; Mortgage relief
5910,2016-07-29,2018-03-28,20,Early 2016s Supply Shock,Financial market contagion; Trade restrictions,28.4,10.3,Regulatory reforms
5911,1859-03-29,1860-02-16,11,Early 1859s Financial Crisis,Political instability; Inflation spike; Currency devaluation,16.3,17.3,Tax cuts; Bank bailouts
5912,1881-05-14,1882-05-30,12,Late 1881s Economic Downturn,Natural disasters; Credit crunch,16.7,4.2,Emergency lending facilities; Mortgage relief; Debt restructuring
5913,1885-01-21,1886-12-27,23,Early 1885s Commodity Crash,Inflation spike; Fiscal policy contraction,21.5,15.6,Regulatory reforms; Fiscal stimulus package
5914,1801-04-26,1802-04-11,12,Late 1801s Tech Bubble,Fiscal policy contraction,24.2,8.7,Interest rate cuts; Tax cuts; Trade policy adjustments
5915,1802-01-29,1804-08-28,31,Mid 1802s Structural Recession,Technological disruption,29.4,7.8,Tax cuts; Direct payments to citizens; Debt restructuring
5916,1871-03-24,1872-03-02,12,Early 1871s Housing Bubble,Market speculation,26.8,7.8,Increased government spending; Interest rate cuts
5917,1994-07-20,1997-04-14,33,Early 1994s Deflationary Spiral,Political instability; Monetary policy tightening,6.9,22.1,International financial assistance
5918,2014-07-06,2014-12-10,5,Late 2014s Regional Recession,War or conflict,0.6,18.9,Unemployment benefit extensions; Debt restructuring; Nationalization of key industries
5919,1825-02-24,1826-09-25,19,Mid 1825s Debt Crisis,Credit crunch,8.2,17.6,Bank bailouts; Unemployment benefit extensions; Emergency lending facilities
5920,1853-06-25,1855-08-20,26,Mid 1853s Financial Crisis,Currency devaluation,16.4,8.2,Capital controls; Emergency lending facilities; Trade policy adjustments
5921,1857-03-28,1857-09-23,6,Late 1857s Financial Crisis,Credit crunch,26.4,7.3,Infrastructure investment
5922,1914-11-28,1915-03-30,4,Early 1914s Trade War Recession,War or conflict; Monetary policy tightening,22.3,19.1,Capital controls; Debt restructuring
5923,1880-05-22,1882-03-15,22,Mid 1880s Tech Bubble,Market speculation,19.2,13.2,Tax cuts
5924,1953-06-24,1956-01-16,31,Early 1953s Global Slowdown,Energy crisis; Regulatory changes,15.0,8.7,Debt restructuring; Price controls
5925,1836-12-11,1839-06-27,30,Late 1836s Deflationary Spiral,Energy crisis,16.4,7.1,Quantitative easing; Price controls; Debt restructuring
5926,1816-04-22,1818-02-09,22,Late 1816s Global Slowdown,Inflation spike; Market speculation; Currency devaluation,4.9,23.2,Regulatory reforms; Bank bailouts; Increased government spending
5927,1934-05-05,1934-08-16,3,Early 1934s Trade War Recession,Financial market contagion,5.3,10.3,Infrastructure investment
5928,2017-04-03,2017-07-16,3,Early 2017s Demand Shock,Asset bubble burst; Market speculation; Political instability,15.8,14.6,Debt restructuring; Fiscal stimulus package
5929,1904-06-15,1906-09-26,27,Early 1904s Industrial Decline,Technological disruption; Fiscal policy contraction,23.8,7.1,Increased government spending
5930,1922-08-04,1923-03-13,7,Mid 1922s Global Slowdown,Banking system failure; Currency devaluation,25.6,8.5,Fiscal stimulus package
5931,1857-07-12,1858-02-23,7,Mid 1857s Housing Bubble,War or conflict; Excessive debt accumulation; Political instability,27.6,3.5,Fiscal stimulus package; Bank bailouts
5932,1898-02-08,1899-06-27,16,Mid 1898s Banking Crisis,Pandemic outbreak; Regulatory changes,21.1,13.8,Mortgage relief; Quantitative easing
5933,1928-07-29,1928-11-21,4,Mid 1928s Demand Shock,Energy crisis; Currency devaluation,23.6,17.8,Fiscal stimulus package; International financial assistance; Infrastructure investment
5934,1856-10-05,1859-01-07,27,Late 1856s Banking Crisis,Regulatory changes; Supply chain disruptions,11.6,11.1,Nationalization of key industries; Currency intervention; Business loan programs
5935,1962-04-25,1964-08-13,28,Late 1962s Stagflation Period,Natural disasters,26.6,9.9,Currency intervention
5936,1815-09-09,1816-03-05,6,Mid 1815s Market Crash,Credit crunch; Technological disruption; Consumer confidence collapse,4.4,19.5,Quantitative easing; Increased government spending
5937,1997-10-22,1999-06-27,20,Late 1997s Fiscal Crisis,Market speculation,8.2,17.6,Regulatory reforms; Currency intervention
5938,1852-02-28,1854-04-22,26,Mid 1852s Demand Shock,Asset bubble burst; Market speculation; Trade restrictions,13.0,14.1,Quantitative easing; Currency intervention
5939,2013-01-21,2014-11-05,22,Mid 2013s Tech Bubble,Energy crisis,8.2,9.3,Tax cuts; Trade policy adjustments
5940,1810-01-24,1811-05-24,16,Late 1810s Trade War Recession,Supply chain disruptions,5.4,6.5,Price controls
5941,1841-01-06,1842-01-21,12,Mid 1841s Debt Crisis,Natural disasters; Technological disruption,20.9,19.3,Business loan programs; Unemployment benefit extensions
5942,1924-10-20,1926-06-17,20,Early 1924s Banking Crisis,Pandemic outbreak; Consumer confidence collapse,22.1,8.6,Capital controls
5943,2014-03-11,2016-05-16,26,Mid 2014s Trade War Recession,Market speculation,29.0,12.1,International financial assistance
5944,1828-02-14,1828-05-02,3,Early 1828s Monetary Crisis,Credit crunch; Supply chain disruptions,9.4,9.8,Nationalization of key industries; Direct payments to citizens
5945,1867-01-23,1868-11-04,22,Early 1867s Deflationary Spiral,Excessive debt accumulation; Regulatory changes; Currency devaluation,29.3,20.3,Business loan programs; Infrastructure investment
5946,1924-11-18,1927-02-08,27,Mid 1924s Fiscal Crisis,Technological disruption; War or conflict,16.6,5.4,Increased government spending
5947,1892-12-11,1893-05-11,5,Mid 1892s Market Crash,Political instability,9.3,4.1,Trade policy adjustments
5948,1917-10-23,1920-01-20,27,Early 1917s Structural Recession,Energy crisis; Market speculation,20.0,9.0,Tax cuts
5949,1899-12-24,1901-04-17,16,Early 1899s Commodity Crash,Regulatory changes; Monetary policy tightening,15.5,16.0,Nationalization of key industries
5950,1869-04-15,1869-08-11,4,Late 1869s Demand Shock,Market speculation,9.1,21.8,Unemployment benefit extensions; Interest rate cuts
5951,1874-05-11,1876-02-19,21,Early 1874s Economic Downturn,Asset bubble burst; Excessive debt accumulation,9.9,20.5,Nationalization of key industries
5952,1919-03-01,1921-03-06,24,Mid 1919s Industrial Decline,Pandemic outbreak,0.7,22.9,Bank bailouts; Trade policy adjustments
5953,1901-04-20,1903-02-20,22,Early 1901s Demand Shock,Currency devaluation,17.3,14.6,Currency intervention
5954,2016-01-03,2017-07-29,18,Late 2016s Deflationary Spiral,Regulatory changes; Banking system failure,18.3,14.3,Increased government spending
5955,1918-03-25,1918-09-22,6,Mid 1918s Supply Shock,Regulatory changes,2.1,15.0,Capital controls
5956,1875-02-26,1875-10-18,8,Mid 1875s Monetary Crisis,Pandemic outbreak; Asset bubble burst,13.3,17.1,Fiscal stimulus package; Business loan programs
5957,2005-11-25,2007-10-15,23,Late 2005s Stagflation Period,Trade restrictions; Financial market contagion,25.4,22.1,Debt restructuring; Infrastructure investment
5958,1984-12-31,1985-08-02,8,Early 1984s Financial Crisis,Monetary policy tightening; Excessive debt accumulation,28.1,22.0,Direct payments to citizens
5959,1969-02-24,1969-08-07,6,Early 1969s Trade War Recession,Asset bubble burst,24.0,13.9,Currency intervention
5960,1936-12-07,1937-06-30,6,Mid 1936s Debt Crisis,Natural disasters; Credit crunch,16.5,6.5,Capital controls; Interest rate cuts
5961,2019-09-11,2019-12-28,3,Mid 2019s Market Crash,Fiscal policy contraction; Supply chain disruptions; Credit crunch,16.6,10.0,Emergency lending facilities; Infrastructure investment; Fiscal stimulus package
5962,1851-08-26,1853-08-23,24,Early 1851s Deflationary Spiral,Supply chain disruptions; Inflation spike,27.8,22.6,Unemployment benefit extensions; Nationalization of key industries; Business loan programs
5963,1920-03-26,1921-04-19,13,Early 1920s Market Crash,Trade restrictions; Energy crisis; Currency devaluation,8.9,22.9,Business loan programs; Fiscal stimulus package
5964,1852-10-30,1854-05-08,19,Late 1852s Global Slowdown,Energy crisis,26.9,6.3,Tax cuts
5965,1808-01-20,1809-07-21,18,Early 1808s Trade War Recession,Natural disasters; Market speculation,20.4,15.0,Direct payments to citizens; Emergency lending facilities; Increased government spending
5966,1835-08-29,1836-11-03,15,Late 1835s Supply Shock,Technological disruption; Political instability,7.3,22.3,Currency intervention; Capital controls; Fiscal stimulus package
5967,1808-07-12,1811-01-17,30,Mid 1808s Deflationary Spiral,Market speculation,4.2,17.3,Increased government spending
5968,1825-03-25,1827-08-31,29,Mid 1825s Banking Crisis,Supply chain disruptions,27.9,12.9,Infrastructure investment; Quantitative easing; Fiscal stimulus package
5969,1930-01-21,1931-08-19,19,Early 1930s Commodity Crash,Excessive debt accumulation,14.8,4.0,Quantitative easing; Emergency lending facilities
5970,1892-04-01,1892-08-13,4,Mid 1892s Housing Bubble,Natural disasters,20.8,3.3,Trade policy adjustments; Regulatory reforms
5971,1932-05-03,1934-03-11,22,Mid 1932s Currency Crisis,Inflation spike,1.1,11.2,Regulatory reforms
5972,1875-08-15,1878-01-20,29,Mid 1875s Demand Shock,Regulatory changes,10.8,16.1,Increased government spending; Unemployment benefit extensions; Bank bailouts
5973,1901-09-17,1903-09-14,24,Late 1901s Housing Bubble,Fiscal policy contraction; Credit crunch; Asset bubble burst,3.5,10.9,Nationalization of key industries; Increased government spending; Trade policy adjustments
5974,1941-04-05,1941-12-17,8,Early 1941s Tech Bubble,Technological disruption; Pandemic outbreak; Monetary policy tightening,0.4,14.8,Regulatory reforms; Direct payments to citizens
5975,1832-05-05,1834-09-03,28,Mid 1832s Fiscal Crisis,Technological disruption; Energy crisis; Pandemic outbreak,19.4,13.3,Bank bailouts; Mortgage relief
5976,1953-01-16,1953-05-11,4,Mid 1953s Supply Shock,Asset bubble burst; Financial market contagion; Trade restrictions,11.3,4.2,Price controls; Tax cuts; Unemployment benefit extensions
5977,1907-09-02,1909-12-30,27,Late 1907s Currency Crisis,Monetary policy tightening,7.8,10.0,Tax cuts; Interest rate cuts; Mortgage relief
5978,2007-03-20,2008-08-11,17,Mid 2007s Housing Bubble,Currency devaluation; Inflation spike; Monetary policy tightening,10.3,15.8,International financial assistance; Capital controls; Emergency lending facilities
5979,1977-05-08,1979-06-05,25,Late 1977s Monetary Crisis,Consumer confidence collapse; Monetary policy tightening,1.3,22.0,Emergency lending facilities; Regulatory reforms
5980,1935-10-01,1936-05-11,7,Mid 1935s Demand Shock,Political instability; Inflation spike; Fiscal policy contraction,22.1,23.0,Regulatory reforms; International financial assistance; Emergency lending facilities
5981,1881-05-03,1883-05-15,24,Mid 1881s Global Slowdown,Natural disasters; Trade restrictions,5.1,6.6,Increased government spending; Bank bailouts; Emergency lending facilities
5982,2022-06-30,2024-10-21,28,Mid 2022s Supply Shock,Monetary policy tightening,5.8,23.8,Infrastructure investment; Regulatory reforms
5983,1809-11-29,1810-09-11,10,Early 1809s Currency Crisis,Political instability; Natural disasters,18.1,17.5,Increased government spending
5984,1820-12-15,1823-05-06,29,Late 1820s Structural Recession,Natural disasters; Monetary policy tightening,6.2,13.9,Interest rate cuts
5985,1864-03-18,1865-06-27,15,Late 1864s Trade War Recession,Asset bubble burst; Technological disruption,11.3,3.0,Regulatory reforms; Nationalization of key industries; Infrastructure investment
5986,1981-07-10,1983-11-22,28,Early 1981s Deflationary Spiral,Supply chain disruptions; Political instability; War or conflict,22.7,22.8,Increased government spending
5987,1859-07-29,1861-03-06,20,Mid 1859s Demand Shock,Consumer confidence collapse; War or conflict,4.5,4.5,Currency intervention; Fiscal stimulus package; Interest rate cuts
5988,1816-02-17,1818-04-14,26,Mid 1816s Supply Shock,Market speculation; Technological disruption; Energy crisis,26.4,3.9,Business loan programs; International financial assistance
5989,1971-12-30,1973-01-06,13,Early 1971s Banking Crisis,Credit crunch,22.1,23.9,International financial assistance; Business loan programs
5990,1992-12-16,1994-06-05,18,Early 1992s Financial Crisis,Consumer confidence collapse,8.0,18.6,Regulatory reforms; Bank bailouts
5991,1836-10-11,1837-10-30,12,Mid 1836s Industrial Decline,Inflation spike; Technological disruption; Market speculation,29.6,19.2,Interest rate cuts; Fiscal stimulus package; International financial assistance
5992,2017-04-17,2018-12-15,20,Mid 2017s Stagflation Period,War or conflict; Excessive debt accumulation; Banking system failure,12.8,13.4,Price controls; Bank bailouts; Business loan programs
5993,1816-07-14,1818-04-26,21,Late 1816s Tech Bubble,Excessive debt accumulation; Regulatory changes,11.1,10.8,Price controls
5994,1908-10-10,1910-07-15,21,Early 1908s Financial Crisis,Inflation spike; Banking system failure; Trade restrictions,25.8,21.7,Direct payments to citizens
5995,1991-10-21,1992-11-13,13,Early 1991s Banking Crisis,Credit crunch; Inflation spike,24.1,19.5,Price controls; Unemployment benefit extensions
5996,1975-03-12,1976-12-30,21,Late 1975s Economic Downturn,Pandemic outbreak,10.4,22.6,Bank bailouts; Interest rate cuts
5997,1820-01-04,1822-06-02,29,Mid 1820s Fiscal Crisis,Inflation spike; Political instability; Market speculation,3.9,16.3,Increased government spending; Bank bailouts; Fiscal stimulus package
5998,1975-02-16,1977-03-25,25,Late 1975s Trade War Recession,Market speculation; Monetary policy tightening; Natural disasters,28.6,14.5,Tax cuts; Price controls; Trade policy adjustments
5999,1949-08-22,1951-08-31,24,Late 1949s Deflationary Spiral,Banking system failure; Trade restrictions,3.0,20.5,International financial assistance; Capital controls
6000,1986-06-16,1986-09-05,3,Late 1986s Stagflation Period,Market speculation; Inflation spike; Monetary policy tightening,18.9,20.7,Increased government spending; Capital controls; Fiscal stimulus package
6001,1861-02-15,1862-04-17,14,Early 1861s Banking Crisis,Banking system failure,0.9,20.2,Fiscal stimulus package; Tax cuts
6002,1984-05-15,1986-01-21,20,Early 1984s Global Slowdown,Market speculation; Consumer confidence collapse; Natural disasters,22.1,22.9,Increased government spending; Emergency lending facilities; Fiscal stimulus package
6003,1888-06-29,1890-07-15,25,Mid 1888s Financial Crisis,Consumer confidence collapse; Banking system failure,17.3,13.9,Interest rate cuts; Debt restructuring; Nationalization of key industries
6004,1996-04-11,1997-07-18,15,Mid 1996s Banking Crisis,Currency devaluation,20.1,5.1,Mortgage relief
6005,2009-05-06,2011-10-22,29,Mid 2009s Fiscal Crisis,Pandemic outbreak; Asset bubble burst; Excessive debt accumulation,6.8,13.7,Business loan programs; Capital controls
6006,1863-10-11,1866-05-07,31,Early 1863s Banking Crisis,Regulatory changes; War or conflict; Technological disruption,9.8,20.8,Debt restructuring; Direct payments to citizens
6007,1868-04-24,1870-10-19,30,Late 1868s Global Slowdown,Supply chain disruptions; Fiscal policy contraction; Political instability,23.5,21.3,Nationalization of key industries
6008,1836-04-04,1838-08-19,28,Mid 1836s Housing Bubble,Natural disasters; Currency devaluation; Fiscal policy contraction,18.2,7.0,Increased government spending; Tax cuts; Nationalization of key industries
6009,1949-12-01,1951-05-25,17,Late 1949s Trade War Recession,Technological disruption,28.0,11.4,Mortgage relief; Unemployment benefit extensions
6010,1990-08-27,1992-12-04,28,Early 1990s Deflationary Spiral,Banking system failure; Excessive debt accumulation; Credit crunch,4.6,5.3,Business loan programs; Unemployment benefit extensions
6011,1872-03-03,1874-05-29,26,Late 1872s Monetary Crisis,Trade restrictions; Political instability; Credit crunch,16.0,12.0,International financial assistance; Infrastructure investment
6012,1960-05-09,1960-08-23,3,Late 1960s Financial Crisis,Excessive debt accumulation; Trade restrictions; Consumer confidence collapse,11.5,15.1,Increased government spending
6013,1960-10-01,1961-09-18,11,Late 1960s Structural Recession,Monetary policy tightening,13.4,7.1,Quantitative easing
6014,1921-10-14,1922-05-25,7,Early 1921s Deflationary Spiral,War or conflict,11.4,14.1,Price controls; Debt restructuring; Unemployment benefit extensions
6015,1817-06-05,1817-08-21,2,Early 1817s Deflationary Spiral,War or conflict,7.5,14.8,Direct payments to citizens; Debt restructuring; Infrastructure investment
6016,1816-09-21,1817-07-09,10,Late 1816s Structural Recession,Technological disruption,5.9,10.2,Currency intervention
6017,1956-12-19,1959-02-21,26,Late 1956s Deflationary Spiral,Technological disruption; Trade restrictions; Banking system failure,13.1,16.6,Quantitative easing; Currency intervention
6018,1922-03-31,1924-09-12,30,Mid 1922s Global Slowdown,Financial market contagion,16.1,6.0,Bank bailouts; Fiscal stimulus package; Debt restructuring
6019,1966-04-24,1968-07-03,27,Early 1966s Global Slowdown,Natural disasters,5.8,24.1,Emergency lending facilities
6020,1942-09-07,1944-09-18,24,Early 1942s Regional Recession,Inflation spike,22.5,11.7,Quantitative easing; Bank bailouts
6021,1960-01-16,1961-07-16,18,Mid 1960s Trade War Recession,Regulatory changes; War or conflict,6.3,15.4,Bank bailouts; Business loan programs
6022,1975-07-02,1975-12-24,5,Mid 1975s Market Crash,Excessive debt accumulation,8.6,7.4,Quantitative easing; Interest rate cuts; Infrastructure investment
6023,2009-04-17,2011-04-24,24,Late 2009s Market Crash,Energy crisis; Credit crunch; Inflation spike,29.3,15.6,Unemployment benefit extensions; Increased government spending
6024,1881-02-03,1882-10-31,20,Mid 1881s Demand Shock,Excessive debt accumulation,0.3,9.6,Direct payments to citizens; Capital controls
6025,1993-10-31,1995-02-19,16,Mid 1993s Supply Shock,Fiscal policy contraction; Consumer confidence collapse,18.8,6.2,Mortgage relief; Business loan programs
6026,1991-01-30,1991-11-09,10,Early 1991s Industrial Decline,Technological disruption,0.7,9.1,Increased government spending; Interest rate cuts; Unemployment benefit extensions
6027,1889-04-04,1891-08-28,28,Late 1889s Banking Crisis,Financial market contagion; Monetary policy tightening,6.8,9.6,Regulatory reforms; Business loan programs; Infrastructure investment
6028,1801-03-26,1802-12-19,21,Early 1801s Industrial Decline,Trade restrictions,24.7,19.4,Interest rate cuts; Emergency lending facilities
6029,2020-07-27,2022-06-21,23,Mid 2020s Housing Bubble,Asset bubble burst; Energy crisis; Credit crunch,15.9,13.7,Mortgage relief; Unemployment benefit extensions
6030,1893-11-01,1894-04-06,5,Mid 1893s Deflationary Spiral,Consumer confidence collapse,26.2,23.7,Capital controls
6031,2000-02-07,2001-03-11,13,Late 2000s Trade War Recession,Trade restrictions,23.8,8.5,Bank bailouts
6032,1826-02-07,1827-01-23,11,Early 1826s Trade War Recession,Currency devaluation; Excessive debt accumulation,27.3,5.8,Tax cuts; Interest rate cuts
6033,2008-06-29,2009-07-05,13,Late 2008s Banking Crisis,Energy crisis; Inflation spike; Monetary policy tightening,21.6,22.5,International financial assistance; Debt restructuring
6034,1805-11-28,1808-07-07,32,Early 1805s Industrial Decline,Asset bubble burst; Political instability,7.7,17.4,Direct payments to citizens; Trade policy adjustments
6035,1934-09-09,1935-03-01,6,Mid 1934s Monetary Crisis,Currency devaluation,4.7,4.3,Quantitative easing
6036,1940-05-17,1940-09-22,4,Late 1940s Structural Recession,Fiscal policy contraction; Currency devaluation; Asset bubble burst,19.2,12.4,Regulatory reforms
6037,2001-05-22,2001-10-04,5,Early 2001s Housing Bubble,Pandemic outbreak; Supply chain disruptions; War or conflict,9.4,22.5,Fiscal stimulus package; Emergency lending facilities; Debt restructuring
6038,1873-06-24,1874-12-07,18,Early 1873s Market Crash,Natural disasters; Energy crisis,27.0,19.7,Regulatory reforms; Bank bailouts; Interest rate cuts
6039,1880-11-25,1881-10-10,11,Late 1880s Regional Recession,Technological disruption,22.4,19.4,International financial assistance; Infrastructure investment; Regulatory reforms
6040,1858-11-28,1859-04-09,5,Late 1858s Banking Crisis,Currency devaluation; Credit crunch; Consumer confidence collapse,12.9,3.0,Price controls
6041,1995-08-01,1997-07-01,23,Late 1995s Financial Crisis,Credit crunch,14.5,11.6,Increased government spending; Interest rate cuts
6042,1902-12-28,1905-01-20,25,Early 1902s Economic Downturn,Asset bubble burst; Technological disruption,14.0,18.1,Capital controls; Emergency lending facilities
6043,1815-01-13,1817-01-26,24,Late 1815s Banking Crisis,Natural disasters; Consumer confidence collapse,24.5,19.5,Emergency lending facilities; Mortgage relief
6044,1832-06-17,1834-09-04,27,Mid 1832s Structural Recession,Political instability; Trade restrictions; Financial market contagion,8.0,12.5,Currency intervention
6045,1828-03-13,1829-06-20,15,Early 1828s Financial Crisis,Natural disasters; Market speculation; Financial market contagion,8.7,14.8,Unemployment benefit extensions; Price controls; Quantitative easing
6046,1979-06-23,1979-11-08,5,Late 1979s Banking Crisis,Banking system failure,0.3,11.1,Emergency lending facilities
6047,2000-10-17,2001-04-25,6,Mid 2000s Global Slowdown,Consumer confidence collapse; Monetary policy tightening; Market speculation,4.2,19.9,Fiscal stimulus package
6048,1836-05-03,1839-01-06,32,Late 1836s Regional Recession,Pandemic outbreak; Energy crisis; War or conflict,11.9,18.1,Currency intervention
6049,1980-11-15,1983-08-01,33,Mid 1980s Supply Shock,Excessive debt accumulation,14.0,21.7,Unemployment benefit extensions
6050,1938-06-14,1939-07-12,13,Mid 1938s Tech Bubble,War or conflict; Energy crisis; Technological disruption,13.1,15.1,Quantitative easing
6051,1808-08-09,1809-03-19,7,Early 1808s Tech Bubble,Banking system failure; Financial market contagion; Trade restrictions,11.1,14.0,Interest rate cuts; Increased government spending; Emergency lending facilities
6052,2021-03-01,2022-05-30,14,Mid 2021s Regional Recession,Banking system failure; War or conflict; Political instability,16.4,4.9,Debt restructuring; Fiscal stimulus package; Capital controls
6053,1801-10-04,1803-10-16,24,Late 1801s Fiscal Crisis,Natural disasters; Currency devaluation,29.4,10.3,Tax cuts; Nationalization of key industries
6054,1850-12-16,1853-02-26,26,Mid 1850s Trade War Recession,Financial market contagion,17.5,7.3,Infrastructure investment; Quantitative easing; Increased government spending
6055,1986-08-28,1986-12-18,4,Early 1986s Supply Shock,Excessive debt accumulation,17.9,19.7,Currency intervention; International financial assistance; Bank bailouts
6056,1965-10-08,1966-06-27,8,Mid 1965s Industrial Decline,Excessive debt accumulation; Asset bubble burst,27.4,15.9,Currency intervention
6057,1936-11-19,1937-03-29,4,Late 1936s Trade War Recession,Energy crisis; Supply chain disruptions,6.2,17.0,Increased government spending
6058,1958-04-12,1960-11-24,31,Late 1958s Global Slowdown,Inflation spike; Financial market contagion; Political instability,9.3,17.4,Business loan programs
6059,1929-10-01,1929-12-03,2,Late 1929s Demand Shock,Political instability,13.7,10.7,Tax cuts; Fiscal stimulus package; Nationalization of key industries
6060,1914-01-19,1915-03-07,14,Mid 1914s Global Slowdown,Pandemic outbreak; Consumer confidence collapse; Monetary policy tightening,0.8,14.6,Price controls; Interest rate cuts
6061,2012-04-12,2013-01-07,9,Mid 2012s Economic Downturn,Market speculation,26.0,22.6,Direct payments to citizens; Debt restructuring; Trade policy adjustments
6062,1935-08-26,1936-10-23,14,Mid 1935s Structural Recession,Asset bubble burst; Consumer confidence collapse; Credit crunch,4.6,3.2,Capital controls; Debt restructuring
6063,1873-11-22,1874-05-02,6,Early 1873s Economic Downturn,Currency devaluation; Banking system failure,8.6,17.6,Direct payments to citizens; Emergency lending facilities
6064,1843-08-24,1844-09-01,13,Mid 1843s Structural Recession,Asset bubble burst; War or conflict; Trade restrictions,20.5,5.7,Price controls
6065,1910-06-27,1913-01-11,31,Early 1910s Market Crash,Currency devaluation; Natural disasters; Financial market contagion,2.4,15.9,Capital controls; Direct payments to citizens
6066,1867-01-13,1869-08-28,31,Early 1867s Deflationary Spiral,Fiscal policy contraction; Supply chain disruptions,3.9,6.1,Tax cuts; Currency intervention; Quantitative easing
6067,1950-12-02,1952-12-26,24,Late 1950s Regional Recession,Market speculation; Monetary policy tightening,22.2,3.2,Price controls; Debt restructuring
6068,1998-01-01,1999-05-26,16,Mid 1998s Monetary Crisis,Consumer confidence collapse,4.8,3.3,Quantitative easing
6069,1824-01-06,1826-01-31,24,Late 1824s Regional Recession,Energy crisis,0.5,4.7,Direct payments to citizens
6070,1911-12-15,1912-12-11,12,Early 1911s Commodity Crash,Excessive debt accumulation,29.9,11.9,Fiscal stimulus package; Mortgage relief; Bank bailouts
6071,1855-12-13,1858-07-21,31,Early 1855s Banking Crisis,Excessive debt accumulation; Banking system failure,3.3,6.2,Currency intervention; Direct payments to citizens; Infrastructure investment
6072,1857-06-23,1860-02-17,32,Early 1857s Deflationary Spiral,Pandemic outbreak; Trade restrictions; Currency devaluation,21.3,5.6,Nationalization of key industries
6073,1844-06-30,1845-03-15,9,Mid 1844s Industrial Decline,Fiscal policy contraction; Supply chain disruptions; Currency devaluation,0.2,3.6,Emergency lending facilities; Tax cuts; Mortgage relief
6074,1965-01-23,1966-12-07,23,Late 1965s Regional Recession,Asset bubble burst; Consumer confidence collapse,2.7,3.6,Fiscal stimulus package; Emergency lending facilities
6075,1913-07-25,1915-02-19,19,Early 1913s Currency Crisis,Supply chain disruptions; Monetary policy tightening; War or conflict,13.2,21.5,Currency intervention; Infrastructure investment
6076,1836-12-04,1839-04-19,28,Early 1836s Economic Downturn,Market speculation,3.4,22.0,Bank bailouts
6077,1801-06-19,1804-02-17,32,Early 1801s Currency Crisis,Political instability; Consumer confidence collapse; Technological disruption,17.1,23.8,Currency intervention; Trade policy adjustments
6078,1818-04-15,1819-02-01,10,Mid 1818s Monetary Crisis,Trade restrictions; Political instability,16.9,16.8,Bank bailouts; Tax cuts
6079,1966-07-03,1966-10-22,3,Late 1966s Debt Crisis,Excessive debt accumulation; Asset bubble burst,11.3,12.1,Currency intervention; Direct payments to citizens
6080,1855-11-14,1858-08-08,33,Late 1855s Tech Bubble,Energy crisis,22.7,19.4,Regulatory reforms
6081,1948-05-13,1948-07-17,2,Early 1948s Demand Shock,Currency devaluation,30.0,8.4,Infrastructure investment
6082,1819-07-25,1820-10-17,15,Late 1819s Banking Crisis,Banking system failure,9.1,20.9,Quantitative easing
